ScientificName	AphiaID	Match type	LSID	ScientificName_1	AphiaID_accepted	ScientificName_accepted
Capreolia implexa	373492	exact	urn:lsid:marinespecies.org:taxname:373492	Capreolia implexa	373492	Capreolia implexa
Carcinus maenas	107381	exact	urn:lsid:marinespecies.org:taxname:107381	Carcinus maenas	107381	Carcinus maenas
Carditamera affinis	504857	exact	urn:lsid:marinespecies.org:taxname:504857	Carditamera affinis	504857	Carditamera affinis
Caulerpa racemosa	144472	exact	urn:lsid:marinespecies.org:taxname:144472	Caulerpa racemosa	144472	Caulerpa racemosa
Caulerpa sertularioides	144474	exact	urn:lsid:marinespecies.org:taxname:144474	Caulerpa sertularioides	144474	Caulerpa sertularioides
Centroceras clavulatum	144531	exact	urn:lsid:marinespecies.org:taxname:144531	Centroceras clavulatum	144531	Centroceras clavulatum
Centroceras rodamanii	623676	near_1	urn:lsid:marinespecies.org:taxname:623676	Centroceras rodmanii	623676	Centroceras rodmanii
CERAMIUM	143834	exact	urn:lsid:marinespecies.org:taxname:143834	Ceramium	143834	Ceramium
Ceramium involutum	325436	exact	urn:lsid:marinespecies.org:taxname:325436	Ceramium involutum	325436	Ceramium involutum
Ceramium sp	143834	exact	urn:lsid:marinespecies.org:taxname:143834	Ceramium	143834	Ceramium
Ceramium sp.	143834	exact	urn:lsid:marinespecies.org:taxname:143834	Ceramium	143834	Ceramium
Cerithidea	204619	exact	urn:lsid:marinespecies.org:taxname:204619	Cerithidea	204619	Cerithidea
Cerithium adustum	574959	exact	urn:lsid:marinespecies.org:taxname:574959	Cerithium adustum	574959	Cerithium adustum
Cerithium gallapaginis	574961	exact	urn:lsid:marinespecies.org:taxname:574961	Cerithium gallapaginis	574961	Cerithium gallapaginis
Cerithium menkei	760540	exact	urn:lsid:marinespecies.org:taxname:760540	Cerithium menkei	760540	Cerithium menkei
Cerithium sp	137760	exact	urn:lsid:marinespecies.org:taxname:137760	Cerithium	137760	Cerithium
Chaetomorpha antennina	145021	exact	urn:lsid:marinespecies.org:taxname:145021	Chaetomorpha antennina	145021	Chaetomorpha antennina
Chaetomorpha firma	373649	exact	urn:lsid:marinespecies.org:taxname:373649	Chaetomorpha firma	373649	Chaetomorpha firma
Chaetomorpha sp.	143995	exact	urn:lsid:marinespecies.org:taxname:143995	Chaetomorpha	143995	Chaetomorpha
Chaetopleura peruviana	848069	exact	urn:lsid:marinespecies.org:taxname:848069	Chaetopleura peruviana	848069	Chaetopleura peruviana
